label_code,trans_target_f1,delta_f1,trans_target_accuracy,delta_accuracy,div_score,w_dist,log_w_dist,inverse_div_score,sqrt_w_dist,inverse_log_w_dist
780.39,0.5288221343873518,0.027809988638363814,0.5083333333333333,-0.29666666666666675,129.71382707378393,8.267498880966148e-09,-18.61093380642596,0.0077092783595936855,9.09257877665415e-05,-0.053731855177235714
733.00,0.5376290376290377,0.006588861514563393,0.5520833333333334,-0.2629166666666666,128.28750586378754,8.686653660598953e-09,-18.56147805116388,0.007794991361526468,9.32022191828014e-05,-0.05387501993340966
357.2,0.6695097112097185,-0.024264393473477086,0.6770833333333334,-0.2829166666666666,122.37175300456954,8.791523963072953e-09,-18.54947776563841,0.008171820501440871,9.376312688404196e-05,-0.05390987350880729
293.0,0.5836909871244635,0.014140355200606525,0.5958333333333333,-0.20416666666666672,117.88772816135328,8.730675920714978e-09,-18.5564230450388,0.008482647138905732,9.343808602874407e-05,-0.053889696175436
V15.3,0.5399499925361995,0.009245875568134831,0.5583333333333333,-0.2566666666666666,138.2038036996998,8.452724999688412e-09,-18.588776962394267,0.007235690865447376,9.193870240376689e-05,-0.05379590072133494
E885.9,0.5154472375502419,0.01027669736024639,0.5208333333333334,-0.26916666666666667,127.59388866710825,8.814665439537778e-09,-18.54684897535764,0.007837365962009313,9.388644971207388e-05,-0.05391751457774066
518.0,0.5379532361911217,0.009408413297958829,0.5541666666666667,-0.23083333333333333,127.66785170406446,8.574049698600333e-09,-18.574525672356316,0.007832825465865998,9.259616459983823e-05,-0.0538371755833452
403.90,0.729952998148412,-0.031951763756349894,0.7333333333333333,-0.2416666666666667,100.00243875511134,8.60954022179126e-09,-18.57039492042145,0.009999756130436247,9.278760812625391e-05,-0.053849150989262067
288.60,0.5708206686930092,0.01600804857769844,0.5791666666666667,-0.25583333333333325,132.19653707497554,8.572735580881656e-09,-18.574678950968,0.007564494669272978,9.25890683659883e-05,-0.05383673131792601
V70.7,0.6134453781512604,0.018827728105561214,0.6166666666666667,-0.20333333333333325,110.73408313376072,8.477077739063754e-09,-18.585900052775457,0.009030643246416325,9.207104723561991e-05,-0.05380422778345183
787.20,0.5919706723891273,0.018670538315195162,0.6041666666666666,-0.24083333333333334,134.86438039843227,8.900784255526028e-09,-18.537126445492103,0.0074148562952329,9.434396777497768e-05,-0.053945793752902954
285.1,0.5054312735007026,0.005431273500702605,0.525,-0.27,134.02423665790616,8.314153336775954e-09,-18.6053065530847,0.007461337030797478,9.118197923260908e-05,-0.05374810660317786
285.9,0.5443069527285676,0.015920508042563508,0.5541666666666667,-0.22583333333333333,117.22698965254867,8.496474135006316e-09,-18.583614567152946,0.008530458753260825,9.217632090187977e-05,-0.05381084483787819
458.9,0.5330422125181951,0.003873520247898554,0.55,-0.22499999999999998,118.48551005161747,8.288186520564725e-09,-18.608434646788123,0.008439850573832668,9.103947781355473e-05,-0.05373907150070806
E878.1,0.5695891415994131,0.01814731323834251,0.5833333333333334,-0.23666666666666658,126.29902893964773,8.619890076016552e-09,-18.569193504554377,0.007917717249258126,9.28433631231471e-05,-0.05385263499756922
427.1,0.5865040505652988,0.008726272787520917,0.5958333333333333,-0.21416666666666673,115.13931137299974,8.309045752684306e-09,-18.60592106587792,0.008685130978076189,9.115396728987886e-05,-0.05374633142101934
553.3,0.5322234528589229,0.005467100093601629,0.5416666666666666,-0.2783333333333333,141.00645449607075,8.72986213857925e-09,-18.556516258905816,0.0070918739399114935,9.343373126756337e-05,-0.05388942547446483
E849.7,0.5555717939349653,0.010462582159086797,0.5666666666666667,-0.2833333333333333,145.02704927344263,8.722672690773132e-09,-18.55734014475198,0.006895265435033023,9.339524982981272e-05,-0.05388703295837363
